user_name,quote_text,created_at,quote_url
"狼哥搞钱笔记","如果你想用AI快速摸透一个新领域，强烈建议看下 @longdechen12 这篇保姆级分享

全程高能，跟着做就行，干！

https://t.co/cYMO2QBeTo","Wed Mar 25 15:44:39 +0000 2026","https://x.com/WolfMoneyNotes/status/2036831636961255894"
"草莽码农 | gpt88.cc 中转站（AI）","00后天才的 3 小时学习法：如何用 AI 降维打击，摸透一个陌生领域？ https://t.co/9Fy8I2Csbr","Thu Mar 26 03:00:50 +0000 2026","https://x.com/webstarchina/status/2037001803381059909"
"Sam崔","非常干货的一个工作流，不过安装依赖 mcp 和 skill 的时候感觉还是比较麻烦。弄了个 skill 可以自动装文章里提到的所有依赖并且引导登录 Google 账号；后面的提问部分也可以用一个命令运行，这样就只需要手动收集信息和安装 Chrome 插件了
https://t.co/1JHc7lhd21","Thu Mar 26 06:11:13 +0000 2026","https://x.com/SamBCui/status/2037049714995323116"
"BrotherSuperman","https://t.co/rp5pSCzdZN","Thu Mar 26 07:36:29 +0000 2026","https://x.com/Alphabeta66/status/2037071175294030177"
"john wang","https://t.co/FjpDl670pN","Thu Mar 26 08:51:57 +0000 2026","https://x.com/Pipyala/status/2037090164204577139"
"shuangqing liu","https://t.co/uS2vIvT2Nh","Thu Mar 26 10:14:45 +0000 2026","https://x.com/Shuangqing36990/status/2037111001754333277"
"Jackywine","https://t.co/4DlFPK5UEn","Thu Mar 26 13:01:25 +0000 2026","https://x.com/Jackywine/status/2037152946174165280"
"david van","https://t.co/Rs9d9NnonF","Thu Mar 26 13:08:11 +0000 2026","https://x.com/david321van/status/2037154649695019089"
"观自","近百人在线，我这算出圈了吗？ https://t.co/GX5zGVEpCH","Thu Mar 26 14:56:15 +0000 2026","https://x.com/longdechen12/status/2037181844136091830"
"Stevensun","实在是太干了，不转都对不起自己了","Thu Mar 26 22:52:34 +0000 2026","https://x.com/Stevensun520417/status/2037301713661747373"
"wheel-spinner","现在才真正是知识爆炸的时代","Fri Mar 27 00:14:16 +0000 2026","https://x.com/spinner_wheel/status/2037322272634204242"
"小苏 | AI出海","思路：
整理领域相关文档，转md
Md文档放入notebooklm
让AI来提问notebooklm，返回的问答保存
人负责审阅问答内容，理解后，输出自己的xmind思路。

用到的工具：
油管视频文稿提取工具
NotebookLM","Fri Mar 27 00:14:36 +0000 2026","https://x.com/swg209/status/2037322359083036954"
"FAN","深度好文，自愧不如","Fri Mar 27 00:43:53 +0000 2026","https://x.com/sss_crypto/status/2037329727808307408"
"herryheng","Mark","Fri Mar 27 01:19:56 +0000 2026","https://x.com/herryhengAI/status/2037338799542509607"
